date,city,state,venue,other_acts,show_type,note
2008-08-01,Reno,NV,Club Underground,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-31,Portland,OR,Satyricon,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-29,Salt Lake City,UT,Avalon Theater,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-28,Denver,CO,Cervantes Masterpiece Ballroom,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-27,Lawrence,KS,The Bottleneck,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-26,St. Louis,MO,2 Cents Plain,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-25,Chicago,IL,Reggie's Live,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-25,Chicago,IL,Record Breaker’s Records,,S,Acoustic in-store
2008-07-24,Cleveland,OH,Grog Shop,"The Honorary Title, The New Frontiers, and Paper Rival",F,
2008-07-23,Covington,KY,Mad Hatter,"The Honorary Title, Paper Rival, and All the Day Holiday",F,We were terrible and All the Day Holiday was really good. Thought we might get replaced for the tour on the spot.
2008-07-11,Winston-Salem,NC,The Werehouse,"House of Fools, Far-Less, and Native Sound",?,
2008-07-05,Clarksville,IN,Beebsfest 08,"State Champion, Slithering Beast, others",S,
2008-06-28,Newark,DE,Home Grown Cafe,,TG,
2008-06-27,Hamden,CT,The Space,,TG,
2008-06-26,Montpelier,VT,The Langdon Street Café,,TG,
2008-06-25,Catskill,NY,Muddy Cup,,TG,
2008-06-24,Providence,RI,The Living Room,,TG,
2008-06-23,Lemoyne,PA,The Champion Ship,,TG,
2008-06-22,New York,NY,Pianos,Timothy Thomas Cleary,TG,
2008-06-21,Asbury Park,NJ,Name Wave Gathering,,TG,
2008-06-20,Bridgeton,NJ,Higher Grounds Coffee,Timothy Thomas Cleary,TG,
2008-06-19,Philadelphia,PA,The Raven Lounge,,TG,
2008-06-18,New Wilmington,PA,Mugsies Coffee House,,TG,
2008-06-17,Lakewood,OH,Lakewood Phoenix Café,,TG,
2008-06-16,Louisville,KY,Derby City Espresso,,TG,
2008-06-07,Louisville,KY,Keswick Democtratic Club,,?,
2008-05-24,Winston-Salem,NC,The Werehouse,,F,
2008-05-03,East Rutherford,NJ,Bamboozle,,F,Played inside the practice bubble very early in the day. Security almost didn't let us in. They didn't think we were an actual band cause we were travelling in a sedan and an SUV. Also played an acoustic set for VIP ticket people.
2008-04-24,Winston-Salem,NC,The Werehouse,,?,
2008-03-21,Durham,NC,Bull City Headquarters,,?,
2008-03-14,Austin,TX,The Rio,"Limbeck, Jet Lag Gemini, Cruiserweight",TG,Doghouse Records SXSW Showcase
2008-01-24,Louisville,KY,Bulldog Cafe,,S,
2007-11-29,Winston-Salem,NC,Wake Forest University,Thomas Kozak,S,
2007-11-03,Louisville,KY,The Rudyard Kipling,,T,Matt Breen & Anthony Brock of Emanuel as the backing band
2007-11-01,Winston-Salem,NC,Wake Forest University,,T,"At Shorty's, Matt Breen & Anthony Brock of Emanuel as the backing band"
2007-10-09,New York,NY,The Living Room,,S,Part of CMJ. Gabe from Midtown/Cobra Starship was picking up his pass at the same time as me. I got to see Matt Pryor and Chris Conley acoustic.
2007-09-27,New York,NY,The Knitting Factory,,S,"Dude from Fueled by Ramen was there. Texted our manager after, saying they had ""a lot to discuss next week."" We never heard from him again."
2007-09-23,Covington,KY,Mad Hatter,Emanuel,S,
2007-09-17,Charlotte,NC,Freshly Brewed Coffee House,,S,
2007-09-11,Rochester,NY,Boulder Coffee Co,,S,
2007-09-10,Powell,OH,Espresso Yourself,,S,
2007-09-08,Indianapolis,IN,Lazy Daze Coffeehouse,,S,
2007-09-07,Bourbonnais,IL,Moon Monkey Coffee Company,,S,
2007-09-01,St. Louis,MO,Lemmon's,,S,
2007-08-31,Nashville,TN,Christopher's Pizza,,S,
2007-08-21,Tallahassee,FL,The Beta Bar,,S,
2007-06-17,New York,NY,Parkside Lounge,Conrad Keely,S,A dude from TV on the Radio was there
2007-06-06,Columbia,SC,Headliners,"Madina Lake, Emanuel, Fightstar",S,Solo electric
2007-04-10,Winston-Salem,NC,Wake Forest University,,S,
2007-03-27,Winston-Salem,NC,Wake Forest University,Augustana,S,"Date unconfirmed. Played (and won?) a battle of the bands as part of Springfest, then opened for Augustana. Maybe that was the prize?"
2007-03-22,Winston-Salem,NC,The Werehouse,,S,
2007-02-18,Winston-Salem,NC,Ziggy's,"David Bazan, Pattern Is Movement",S,
